country,active_personnel,aircraft_carriers,armored_fighting_vehicles,attack_aircraft,attack_helicopters,border_coverage_km,coal_consumption_mt,coal_production_cum,coastal_patrol_craft,coastline_coverage_km,corvettes,defense_budget_usd,destroyers,external_debt_usd,fighter_aircraft,fit_for_service,foreign_exchange_and_gold_reserves_usd,frigates,helicopter_carriers,labour_force,major_ports_and_terminals,mine_warfare_craft,natural_gas_consumption_cum,natural_gas_production_cum,oil_consumption_bbl,oil_production_bbl,paramilitary,population_reaching_military_age_annually,proven_coal_reserves_cum,proven_natural_gas_reserves_cum,proven_oil_reserves_bbl,purchasing_power_parity_usd,railway_coverage_km,reserve_personnel,roadway_coverage_km,rocket_projectors,self_propelled_artillery,special_mission_aircraft,submarines,tanker_aircraft,tanks,total_land_area_sq_km,total_merchant_marine_fleet,total_military_aircraft,total_military_helicopters,total_military_manpower,total_naval_fleet,total_naval_fleet_tonnage_mt,total_population,total_serviceable_airports,towed_artillery,trainer_aircraft,transport_aircraft,waterway_coverage_km
Bangladesh,204000.0,0.0,11584.0,0.0,0.0,4413.0,14050000.0,767000.0,61.0,580.0,6.0,3340000000.0,0.0,58020000000.0,41.0,66129296.0,21395000000.0,7.0,0.0,77355000.0,2.0,5.0,30384000000.0,24620000000.0,263000.0,13000.0,6800000.0,3205246.0,3260000000.0,126293000000.0,28000000.0,1473000000000.0,2460.0,0.0,369105.0,103.0,36.0,4.0,2.0,0.0,320.0,148460.0,558.0,212.0,67.0,82661620.0,121.0,75280.0,168697184.0,17.0,487.0,83.0,17.0,8370.0
Belarus,63000.0,0.0,6820.0,50.0,31.0,3599.0,710000.0,0.0,0.0,0.0,0.0,1034784000.0,0.0,18010000000.0,43.0,3724569.0,8912000000.0,0.0,0.0,4817000.0,0.0,0.0,16683000000.0,73929000.0,125000.0,30000.0,55000.0,104516.0,0.0,2832000000.0,198000000.0,265220000000.0,5528.0,365400.0,86600.0,206.0,357.0,0.0,0.0,0.0,577.0,207600.0,4.0,194.0,70.0,5035769.0,0.0,0.0,9501451.0,46.0,190.0,27.0,4.0,2500.0
Belgium,26390.0,0.0,3588.0,12.0,0.0,1297.0,4372000.0,1269000.0,2.0,67.0,0.0,14900000000.0,0.0,1594190730000.0,44.0,3880753.0,41449000000.0,2.0,0.0,5416000.0,7.0,5.0,15347000000.0,13436000.0,596000.0,11000.0,0.0,119776.0,4100000000.0,0.0,0.0,749229000000.0,3602.0,6600.0,118414.0,0.0,0.0,0.0,0.0,0.0,0.0,30528.0,198.0,104.0,14.0,4910830.0,9.0,10190.0,11977634.0,48.0,0.0,27.0,7.0,2043.0
Beliz,2000.0,0.0,164.0,0.0,0.0,542.0,0.0,0.0,15.0,386.0,0.0,34400000.0,0.0,1235000000.0,0.0,90226.0,498087000.0,0.0,0.0,190000.0,2.0,0.0,0.0,0.0,5000.0,800.0,0.0,8732.0,0.0,0.0,6700000.0,5538000000.0,0.0,850.0,3281.0,0.0,0.0,1.0,0.0,0.0,0.0,22966.0,774.0,3.0,1.0,158000.0,15.0,0.0,415789.0,27.0,0.0,0.0,1.0,825.0
Benin,4750.0,0.0,92.0,0.0,0.0,2123.0,164000.0,0.0,2.0,121.0,0.0,137690000.0,0.0,6309000000.0,0.0,3189260.0,698900000.0,0.0,0.0,6397000.0,1.0,0.0,182131000.0,0.0,40000.0,0.0,0.0,308638.0,0.0,1133000000.0,8000000.0,56424000000.0,438.0,0.0,16000.0,0.0,0.0,1.0,0.0,0.0,0.0,112622.0,6.0,7.0,5.0,5584880.0,2.0,0.0,14697052.0,10.0,16.0,0.0,1.0,150.0
Bhutan,16000.0,0.0,78.0,0.0,0.0,1136.0,105000.0,4000.0,0.0,0.0,0.0,26600000.0,0.0,2827000000.0,0.0,122067.0,941018000.0,0.0,0.0,406500.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,4423.0,0.0,0.0,0.0,11517000000.0,0.0,50000.0,12205.0,0.0,0.0,0.0,0.0,0.0,0.0,38394.0,0.0,2.0,2.0,203446.0,0.0,0.0,884546.0,4.0,0.0,0.0,0.0,0.0
Bolivia,40000.0,0.0,764.0,0.0,0.0,7252.0,9000.0,0.0,50.0,0.0,0.0,467670000.0,0.0,11174000000.0,0.0,4112199.0,1977000000.0,0.0,0.0,6859000.0,0.0,0.0,3055000000.0,13760000000.0,100000.0,58000.0,0.0,233928.0,1000000.0,302990000000.0,240900000.0,122200000000.0,3690.0,40000.0,90568.0,0.0,0.0,2.0,0.0,0.0,54.0,1098581.0,50.0,67.0,29.0,5417269.0,67.0,0.0,12311974.0,201.0,58.0,20.0,15.0,10000.0
Bosnia and Herzegovina,18000.0,0.0,892.0,0.0,0.0,1543.0,12304000.0,12311000.0,0.0,20.0,0.0,289920000.0,0.0,5359000000.0,0.0,1956316.0,9419000000.0,0.0,0.0,1356000.0,1.0,0.0,225824000.0,0.0,34000.0,0.0,0.0,49383.0,2264000000.0,0.0,0.0,64641000000.0,965.0,8000.0,8619.0,24.0,0.0,0.0,0.0,0.0,45.0,51197.0,0.0,15.0,15.0,2355176.0,0.0,0.0,3798671.0,20.0,300.0,0.0,0.0,990.0
Botswana,12000.0,0.0,1224.0,0.0,0.0,4347.0,1351000.0,2242000.0,0.0,0.0,0.0,581000000.0,0.0,1761000000.0,10.0,617568.0,3456000000.0,0.0,0.0,1173000.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,24507.0,1660000000.0,0.0,0.0,45553000000.0,888.0,0.0,31747.0,20.0,12.0,0.0,0.0,0.0,45.0,581730.0,0.0,45.0,16.0,1029281.0,0.0,0.0,2450668.0,122.0,36.0,10.0,9.0,0.0
Brazil,376000.0,0.0,22464.0,30.0,0.0,16145.0,32223000.0,15556000.0,22.0,7491.0,2.0,26400000000.0,0.0,198582000000.0,44.0,88680759.0,329732000000.0,8.0,1.0,106790000.0,45.0,4.0,31654000000.0,22670000000.0,3163000.0,4221000.0,200000.0,3520824.0,6596000000.0,363985000000.0,12715000000.0,4165000000000.0,29850.0,1340000.0,2000000.0,82.0,149.0,25.0,6.0,0.0,294.0,8515770.0,888.0,495.0,186.0,112226271.0,69.0,166419.0,220051512.0,5297.0,412.0,124.0,107.0,50000.0
